Player/Team,Type,GRD,PTS,REB,AST,STL,BLK,FOULS,TO,FGM,FGA,3PM,3PA,FTM,FTA,Game_ID,Team Name,Win,Season,OREB,DREB,MIN,Q1,Q2,Q3,Q4
MIKEBESELLIN*,Player,A,32,3,1,0,1,1,0,11,14,10,13,0,0,119,Unhinged,0,1,,,,,,,
Yawnboyjr,Player,B-,4,3,1,2,1,0,4,2,8,0,4,0,0,119,Unhinged,0,1,,,,,,,
KM x IJL97,Player,B+,11,13,2,0,1,0,1,5,12,0,1,1,2,119,Unhinged,0,1,,,,,,,
TOTAL,Total,A-,76,24,22,4,3,6,6,30,57,14,28,2,3,119,Unhinged,0,1,,,,,,,
lLearn Pain,Player,A+,51,0,15,1,0,0,0,18,24,15,17,0,0,120,Kintsugi Gaming,1,1,,,,,,,
grip n suck,Player,B,14,0,1,1,0,3,1,5,8,4,5,0,0,120,Kintsugi Gaming,1,1,,,,,,,
Hoesay-14,Player,B+,15,3,0,0,1,1,0,5,6,5,6,0,0,120,Kintsugi Gaming,1,1,,,,,,,
IRangeiana,Player,B-,11,4,2,3,0,1,4,4,4,3,3,0,0,120,Kintsugi Gaming,1,1,,,,,,,
RSM Hendrix,Player,A,14,13,11,1,0,0,3,7,8,0,1,0,0,120,Kintsugi Gaming,1,1,,,,,,,
TOTAL,Total,B+,105,20,29,6,1,5,8,39,50,27,32,0,0,120,Kintsugi Gaming,1,1,,,,,,,
SouthDallas-RJ,Player,A,36,0,6,1,0,0,2,12,15,7,9,5,5,120,Texas Tech,0,1,,,,,,,
x-fletchactive-x,Player,A-,26,0,4,2,0,1,1,10,15,6,8,0,0,120,Texas Tech,0,1,,,,,,,
TraApPastor,Player,C+,10,0,0,1,0,2,0,4,4,2,2,0,0,120,Texas Tech,0,1,,,,,,,
Worldbreee,Player,C,5,2,2,2,0,1,1,2,4,1,2,0,0,120,Texas Tech,0,1,,,,,,,
ItzThat24Moskiii,Player,B-,4,2,4,0,1,1,3,2,5,0,3,0,0,120,Texas Tech,0,1,,,,,,,
TOTAL,Total,B,81,4,16,6,1,4,7,30,43,16,24,5,5,120,Texas Tech,0,1,,,,,,,
llTrifecta,Player,A,37,0,3,3,0,1,1,12,22,10,18,3,3,121,Krashout,1,1,,,,,,,
IllFadex,Player,A,41,0,2,0,0,0,0,14,18,12,15,1,1,121,Krashout,1,1,,,,,,,
Clxmp4k,Player,B+,6,0,3,3,0,1,0,2,4,2,4,0,0,121,Krashout,1,1,,,,,,,
Fr Fella,Player,B,2,2,3,4,1,0,1,1,3,0,1,0,0,121,Krashout,1,1,,,,,,,
ll II WHEEL II,Player,A,12,17,9,0,1,1,0,6,8,0,0,0,0,121,Krashout,1,1,,,,,,,
TOTAL,Team Total,A-,98,19,20,10,2,3,2,35,55,24,38,4,4,121,Krashout,1,1,,,,,,,
EdiblePancakez,Player,A-,15,0,12,0,0,2,4,6,10,3,6,0,0,121,SmokinYallAhhz,0,1,,,,,,,
iMailEm,Player,B,5,0,4,0,0,1,1,2,3,1,1,0,0,121,SmokinYallAhhz,0,1,,,,,,,
Nu1lifyD,Player,A-,27,1,1,0,0,2,0,11,14,5,7,0,0,121,SmokinYallAhhz,0,1,,,,,,,
ZoroSWFlamez,Player,B,12,2,1,2,0,2,1,4,6,4,4,0,0,121,SmokinYallAhhz,0,1,,,,,,,
ennywavilsaehs23,Player,A-,15,12,5,0,1,0,4,7,12,1,1,0,0,121,SmokinYallAhhz,0,1,,,,,,,
TOTAL,Team Total,B+,74,15,23,2,1,7,10,30,45,14,19,0,0,121,SmokinYallAhhz,0,1,,,,,,,
HitmanKeedy,Player,A+,36,1,10,2,0,1,3,12,14,10,11,2,2,122,Not Average Hoops,1,1,,,,,,,
NY GRABBA,Player,A-,13,2,2,1,0,0,0,5,10,3,6,0,0,122,Not Average Hoops,1,1,,,,,,,
SkrapGoKrazy_,Player,B-,6,0,4,1,0,1,0,3,3,0,0,0,0,122,Not Average Hoops,1,1,,,,,,,
HitmanLevine,Player,B,5,4,1,0,0,1,3,2,5,1,3,0,0,122,Not Average Hoops,1,1,,,,,,,
Gxldnn,Player,A-,23,8,5,1,0,1,3,9,12,5,6,0,0,122,Not Average Hoops,1,1,,,,,,,
TOTAL,Team Total,B+,83,15,22,5,1,6,6,31,44,19,26,2,2,122,Not Average Hoops,1,1,,,,,,,
SouthDallas-RJ,Player,A,35,0,7,1,0,1,3,13,19,8,11,1,1,122,Texas Tech,0,1,,,,,,,
x-fletchactive-x,Player,A-,23,1,2,2,0,0,1,8,10,6,7,1,1,122,Texas Tech,0,1,,,,,,,
TraApPastor,Player,C+,3,0,0,1,0,1,1,1,2,1,1,0,0,122,Texas Tech,0,1,,,,,,,
ItzThat24Moskiiii,Player,B+,7,7,1,0,1,0,3,3,6,1,3,0,0,122,Texas Tech,0,1,,,,,,,
NotThatKanye10,Player,B+,9,5,5,0,0,1,0,3,7,3,4,0,0,122,Texas Tech,0,1,,,,,,,
TOTAL,Team Total,B+,77,13,15,4,1,3,8,28,44,19,26,2,2,122,Texas Tech,0,1,,,,,,,
FadedMacBH4L,Player,B+,14,2,6,0,0,0,3,5,10,4,7,0,0,123,All Inclusive,0,1,,,,,,,
Void hoops,Player,A-,20,0,4,3,0,2,0,8,14,4,9,0,0,123,All Inclusive,0,1,,,,,,,
Duckysteak123,Player,C+,18,0,1,1,0,3,4,6,10,6,9,0,0,123,All Inclusive,0,1,,,,,,,
jalen19yktv,Player,C+,3,1,5,0,0,1,2,1,4,1,2,0,0,123,All Inclusive,0,1,,,,,,,
OVL BLVCK,Player,B,8,8,1,0,1,0,1,4,10,0,4,0,0,123,All Inclusive,0,1,,,,,,,
TOTAL,Total,B,63,11,17,4,1,6,11,24,48,15,31,0,0,123,All Inclusive,0,1,,,,,,,
lLearn Pain,Player,A+,46,0,9,2,1,1,0,15,20,12,16,4,4,123,Kintsugi Gaming,1,1,,,,,,,
grip n suck,Player,A-,29,0,0,1,0,0,1,11,19,7,13,0,0,123,Kintsugi Gaming,1,1,,,,,,,
Goatsnelson23,Player,B,11,3,1,3,0,3,1,5,7,1,3,0,0,123,Kintsugi Gaming,1,1,,,,,,,
IRangeiana,Player,B+,6,7,7,3,1,1,2,2,3,2,3,0,0,123,Kintsugi Gaming,1,1,,,,,,,
RSM Hendrix,Player,A,12,18,10,0,1,0,3,6,7,0,0,0,0,123,Kintsugi Gaming,1,1,,,,,,,
TOTAL,Total,A-,104,28,27,9,3,5,7,39,56,22,35,4,4,123,Kintsugi Gaming,1,1,,,,,,,
JevonWV,Player,A+,29,0,14,0,0,1,1,10,10,9,9,0,0,125,Beat The Odds,1,1,,,,,,,
Ice Near,Player,B-,26,0,2,2,0,0,0,9,11,8,10,0,0,125,Beat The Odds,1,1,,,,,,,
Crunch tuff,Player,A-,24,0,2,2,0,3,1,9,10,6,7,0,0,125,Beat The Odds,1,1,,,,,,,
Sensei_Kevvv,Player,B,8,4,2,2,0,2,0,3,7,2,4,0,0,125,Beat The Odds,1,1,,,,,,,
Paint-Defender,Player,A,24,13,7,1,0,0,2,12,13,0,0,0,0,125,Beat The Odds,1,1,,,,,,,
TOTAL,Team Total,A-,111,17,27,7,0,6,4,43,51,25,30,0,0,125,Beat The Odds,1,1,,,,,,,
SWIIT--,Player,B+,16,0,13,0,0,0,7,6,8,4,5,0,0,125,Not Average Hoops,0,1,,,,,,,
NY GRABBA,Player,B+,18,1,2,0,0,0,1,6,12,6,11,0,0,125,Not Average Hoops,0,1,,,,,,,
JoeeSwavey,Player,A-,21,0,3,2,0,0,1,8,14,5,10,0,0,125,Not Average Hoops,0,1,,,,,,,
HitmanLevine,Player,B-,6,3,4,0,0,0,0,2,4,2,3,0,0,125,Not Average Hoops,0,1,,,,,,,
MarcooWrld,Player,B+,11,4,1,0,0,1,1,5,6,1,2,0,2,125,Not Average Hoops,0,1,,,,,,,
TOTAL,Team Total,B+,72,8,23,2,0,0,11,27,44,18,31,0,2,125,Not Average Hoops,0,1,,,,,,,
Leososmoove1,Player,A+,0,0,16,3,0,0,3,9,11,9,11,0,0,126,Beat The Odds,1,1,,,,,,,
JevonWV,Player,A+,27,0,3,3,0,0,1,15,21,14,19,0,0,126,Beat The Odds,1,1,,,,,,,
Ice Near,Player,A+,44,0,3,3,0,0,1,9,10,7,7,0,0,126,Beat The Odds,1,1,,,,,,,
Crunch tuff,Player,A-,25,0,1,3,0,1,0,5,12,2,7,0,0,126,Beat The Odds,1,1,,,,,,,
Sensei_Kevvv,Player,A-,12,4,3,2,0,1,0,5,12,2,7,0,0,126,Beat The Odds,1,1,,,,,,,
Paint-Defender,Player,A+,10,19,11,1,0,0,0,5,6,0,0,0,0,126,Beat The Odds,1,1,,,,,,,
TOTAL,Total,A,118,23,34,12,0,2,6,43,60,32,44,0,0,126,Beat The Odds,1,1,,,,,,,
SWIFTT--,Player,F,4,0,11,0,0,0,9,2,2,0,0,0,0,126,Not Average Hoops,0,1,,,,,,,
Pluckdt,Player,A,36,0,4,3,0,1,0,11,20,11,18,3,3,126,Not Average Hoops,0,1,,,,,,,
JoeeSwavey,Player,A-,26,0,2,0,0,0,2,10,12,6,6,0,0,126,Not Average Hoops,0,1,,,,,,,
HitmanLevine,Player,B,8,3,3,0,1,0,2,3,6,2,3,0,0,126,Not Average Hoops,0,1,,,,,,,
MarcooWrld,Player,A-,7,8,5,0,0,0,0,3,7,1,2,0,0,126,Not Average Hoops,0,1,,,,,,,
TOTAL,Total,B,81,11,25,3,1,1,13,29,47,20,29,3,3,126,Not Average Hoops,0,1,,,,,,,
Kintsugi,Player,A-,9,1,5,1,0,0,0,4,9,1,5,0,0,127,Kintsugi Gaming,1,1,,,,,,,
LLearn Pain,Player,A,45,0,8,3,0,5,2,15,24,12,20,3,3,127,Kintsugi Gaming,1,1,,,,,,,
OverlyPopped,Player,A-,27,2,2,1,1,2,2,11,14,5,7,0,0,127,Kintsugi Gaming,1,1,,,,,,,
Hoesay-14,Player,C+,6,0,2,4,0,4,0,2,7,2,6,0,0,127,Kintsugi Gaming,1,1,,,,,,,
RSM Hendrix,Player,A-,6,17,10,1,1,0,2,2,2,0,0,2,2,127,Kintsugi Gaming,1,1,,,,,,,
TOTAL,Team Total,B+,93,20,27,10,3,11,6,34,56,20,38,5,5,127,Kintsugi Gaming,1,1,,,,,,,
Domo2-6*,Player,B+,8,3,21,1,0,0,8,3,6,2,3,0,0,127,Unhinged,0,1,,,,,,,
Goon_0831*,Player,A,44,0,1,0,0,0,0,16,23,12,16,0,0,127,Unhinged,0,1,,,,,,,
NTNF_Gaming*,Player,A-,23,4,3,1,0,1,1,9,13,5,7,0,1,127,Unhinged,0,1,,,,,,,
Yawnboyjr,Player,B+,0,2,3,0,0,1,0,0,4,0,4,0,0,127,Unhinged,0,1,,,,,,,
KM x LUL97,Player,B+,10,11,1,0,0,0,1,5,6,0,1,0,0,127,Unhinged,0,1,,,,,,,
TOTAL,Team Total,A-,85,20,29,2,0,2,10,33,52,19,31,0,1,127,Unhinged,0,1,,,,,,,
Not Average,Player,A-,19,1,12,1,0,0,6,7,8,5,6,0,0,128,Not Average Hoops,1,1,,,,,,,
HitmanKeedy,Player,A-,19,1,1,0,0,0,3,6,10,2,6,0,0,128,Not Average Hoops,1,1,,,,,,,
SWIFF--,Player,B-,14,1,1,0,0,0,0,3,10,1,2,0,0,128,Not Average Hoops,1,1,,,,,,,
HitmanLevine,Player,B,3,1,2,1,1,0,0,1,4,1,2,0,0,128,Not Average Hoops,1,1,,,,,,,
REEKIOO,Player,A-,17,2,4,1,0,0,0,6,11,3,6,2,2,128,Not Average Hoops,1,1,,,,,,,
Gxldnn,Player,A-,16,12,4,1,0,0,2,7,10,2,2,0,0,128,Not Average Hoops,1,1,,,,,,,
TOTAL,Total,B+,69,17,23,4,1,0,11,27,43,13,22,2,2,128,Not Average Hoops,1,1,,,,,,,
SmokinYellAhhz,Player,A-,3,0,11,2,0,0,2,1,7,1,4,0,0,128,SmokinYallAhhz,0,1,,,,,,,
EdiblePancakez,Player,A-,3,0,2,0,0,0,0,1,1,0,0,0,0,128,SmokinYallAhhz,0,1,,,,,,,
e-ZIA,Player,A-,17,1,8,0,0,1,0,6,11,5,9,0,0,128,SmokinYallAhhz,0,1,,,,,,,
Setoah2k,Player,A-,30,0,2,4,0,2,0,12,16,6,8,0,0,128,SmokinYallAhhz,0,1,,,,,,,
iMail Em,Player,B+,10,5,5,4,1,2,2,5,6,0,0,0,0,128,SmokinYallAhhz,0,1,,,,,,,
Nu1lifyD,Player,A-,16,9,1,0,2,0,1,8,10,0,0,0,0,128,SmokinYallAhhz,0,1,,,,,,,
TOTAL,Total,A-,76,15,27,10,3,5,5,32,50,12,21,0,0,128,SmokinYallAhhz,0,1,,,,,,,
ClipsNYCTTV,Player,D-,13,0,8,1,0,2,5,5,19,3,10,0,0,129,Bucketboys,0,1,,,,,,,
TakeMyBlitz,Player,B+,16,1,3,2,1,3,1,6,10,4,6,0,0,129,Bucketboys,0,1,,,,,,,
llAvonBarksdale,Player,B-,9,2,0,3,0,1,2,4,6,1,2,0,0,129,Bucketboys,0,1,,,,,,,
LeefUP,Player,B+,19,3,2,0,1,1,1,7,9,5,6,0,0,129,Bucketboys,0,1,,,,,,,
xFRE3SMOKEx,Player,A-,6,15,5,0,1,0,0,3,6,0,0,0,0,129,Bucketboys,0,1,,,,,,,
TOTAL,Total,B-,63,21,18,6,3,7,10,25,50,13,24,0,0,129,Bucketboys,0,1,,,,,,,
ISO864xRAW,Player,A-,20,1,12,4,0,4,5,9,17,0,2,2,2,129,Shiesty U,1,1,,,,,,,
RipXChucky,Player,B+,12,2,3,1,1,2,2,4,8,2,3,2,2,129,Shiesty U,1,1,,,,,,,
VAheavyhitter62,Player,A-,15,1,1,2,0,0,0,5,6,5,6,0,0,129,Shiesty U,1,1,,,,,,,
YoGreedy-,Player,B-,6,1,1,1,3,0,0,3,6,0,0,0,0,129,Shiesty U,1,1,,,,,,,
BigRedDMD,Player,A,15,14,6,1,1,0,1,6,7,1,2,2,2,129,Shiesty U,1,1,,,,,,,
TOTAL,Total,A-,68,19,23,9,5,5,8,27,44,8,13,6,6,129,Shiesty U,1,1,,,,,,,
FadedMacBH4L,Player,B+,21,1,8,0,0,1,4,7,14,5,10,2,2,130,All Inclusive,0,1,,,,,,,
Void hoops,Player,B-,13,0,2,4,0,3,1,5,7,3,5,0,0,130,All Inclusive,0,1,,,,,,,
OVL BLVCK,Player,B+,20,0,0,0,0,0,0,7,12,6,10,0,0,130,All Inclusive,0,1,,,,,,,
jalen19yktv,Player,A-,9,8,12,1,0,0,0,4,4,1,1,0,0,130,All Inclusive,0,1,,,,,,,
Duckysteak123,Player,B,15,4,1,0,0,1,2,6,8,3,3,0,0,130,All Inclusive,0,1,,,,,,,
TOTAL,Total,B,78,13,23,5,0,7,8,29,45,18,29,2,2,130,All Inclusive,0,1,,,,,,,
Krasout2K,Player,,31,0,4,1,0,1,1,10,22,9,21,2,2,130,Krashout,1,1,,,,,,,
Trifecta,Player,B+,31,0,4,1,0,1,1,10,22,9,21,2,2,130,Krashout,1,1,,,,,,,
IIIFadex,Player,B+,20,0,3,0,0,1,2,8,11,4,5,0,0,130,Krashout,1,1,,,,,,,
Clxmp4k,Player,B,4,2,2,1,0,1,1,2,3,0,0,0,0,130,Krashout,1,1,,,,,,,
Fr Fella,Player,B-,6,5,3,1,0,3,1,1,6,1,4,3,4,130,Krashout,1,1,,,,,,,
II WHEEL II,Player,A-,24,19,5,2,1,2,2,12,15,0,0,0,0,130,Krashout,1,1,,,,,,,
TOTAL,Total,B+,85,26,17,6,2,6,7,33,57,14,30,5,6,130,Krashout,1,1,,,,,,,
HitmanKeedy,Player,A,34,1,8,3,0,0,3,11,18,11,15,1,2,132,Not Average Hoops,1,1,,,,,,,
JoeeSwavey,Player,A-,20,2,4,1,0,1,2,8,12,4,5,0,2,132,Not Average Hoops,1,1,,,,,,,
Gxldnn,Player,A-,9,3,2,3,0,1,4,4,8,1,4,0,0,132,Not Average Hoops,1,1,,,,,,,
HitmanLevine,Player,A-,14,7,1,1,0,0,0,5,7,4,4,0,0,132,Not Average Hoops,1,1,,,,,,,
Pluckdt,Player,B+,10,11,4,1,0,0,3,3,6,2,3,2,2,132,Not Average Hoops,1,1,,,,,,,
TOTAL,Team,A-,87,24,19,9,0,1,9,31,51,22,31,3,6,132,Not Average Hoops,1,1,,,,,,,
ISO864xRAW,Player,B-,22,0,10,2,0,3,7,9,17,4,7,0,0,132,Shiesty U,0,1,,,,,,,
RipXChucky,Player,A-,20,2,5,1,0,1,1,7,13,6,10,0,0,132,Shiesty U,0,1,,,,,,,
VAheavyhitter62,Player,B+,16,1,0,3,0,0,0,6,12,4,7,0,0,132,Shiesty U,0,1,,,,,,,
K1NGG3DORAH,Player,C+,4,2,3,1,0,1,1,2,3,0,0,0,0,132,Shiesty U,0,1,,,,,,,
BigRedDMD,Player,B+,5,11,3,1,2,1,2,2,3,1,2,0,0,132,Shiesty U,0,1,,,,,,,
TOTAL,Team,B,67,16,21,8,2,6,11,26,48,15,26,0,0,132,Shiesty U,0,1,,,,,,,
HitmanKeedy,Player,A,26,1,6,1,0,1,2,9,14,8,10,0,0,133,Not Average Hoops,1,1,,,,,,,
JoeeSwavey,Player,A-,19,0,4,1,0,2,0,8,12,2,3,1,2,133,Not Average Hoops,1,1,,,,,,,
Gxldnn,Player,C+,1,4,2,3,1,1,3,0,0,0,0,1,2,133,Not Average Hoops,1,1,,,,,,,
HitmanLevine,Player,A-,16,3,2,1,0,0,1,7,11,2,5,0,0,133,Not Average Hoops,1,1,,,,,,,
Pluckdt,Player,A-,11,5,2,1,0,2,2,3,8,2,4,3,3,133,Not Average Hoops,1,1,,,,,,,
TOTAL,Team Total,B+,73,19,19,8,2,4,8,27,45,14,22,5,7,133,Not Average Hoops,1,1,,,,,,,
K1NGG3EDORAH,Player,B,6,2,3,3,0,1,0,3,5,0,0,0,0,133,Shiesty U,0,1,,,,,,,
ISO864xRAW,Player,A,31,0,7,0,0,1,5,11,13,5,7,4,4,133,Shiesty U,0,1,,,,,,,
RipXChucky,Player,B+,10,1,6,1,0,4,0,4,9,2,4,0,0,133,Shiesty U,0,1,,,,,,,
VAheavyhitter62,Player,B-,5,2,0,1,0,0,2,2,5,1,3,0,0,133,Shiesty U,0,1,,,,,,,
BigRedDMD,Player,B+,14,8,3,2,0,2,1,5,9,4,8,0,0,133,Shiesty U,0,1,,,,,,,
TOTAL,Team Total,B+,66,13,19,7,0,8,9,25,41,12,22,4,4,133,Shiesty U,0,1,,,,,,,
lLearn Pain,Player,A,22,0,10,1,0,1,3,8,16,6,13,0,0,8001,Kintsugi Gaming,0,1,,,,,,,
grip n suck,Player,A-,23,0,1,0,0,0,1,9,12,5,8,0,0,8001,Kintsugi Gaming,0,1,,,,,,,
Goatsnelson23,Player,B-,5,1,1,1,0,2,0,2,3,1,1,0,0,8001,Kintsugi Gaming,0,1,,,,,,,
IRangeiana,Player,B+,6,5,5,2,0,1,0,2,5,2,5,0,0,8001,Kintsugi Gaming,0,1,,,,,,,
RSM Hendrix,Player,A-,12,10,2,1,0,2,1,6,7,0,0,0,0,8001,Kintsugi Gaming,0,1,,,,,,,
TOTAL,Total,B+,68,16,19,5,0,6,5,27,43,14,27,0,0,8001,Kintsugi Gaming,0,1,,,,,,,
llTrifecta,Player,A-,23,0,6,0,0,0,1,8,18,7,16,0,0,8001,Krashout,1,1,,,,,,,
lllFadex,Player,A-,25,0,2,0,0,0,1,9,13,7,11,0,0,8001,Krashout,1,1,,,,,,,
Clxmp4k,Player,B,7,0,3,2,0,1,1,3,5,1,3,0,0,8001,Krashout,1,1,,,,,,,
Fr Fella,Player,B,12,1,1,2,0,3,0,4,7,4,6,0,0,8001,Krashout,1,1,,,,,,,
ll II WHEEL II,Player,A-,4,17,6,1,0,1,3,1,1,0,0,2,2,8001,Krashout,1,1,,,,,,,
TOTAL,Total,B+,71,18,18,5,0,5,6,25,44,19,36,2,2,8001,Krashout,1,1,,,,,,,
Clutch Krabs,Player,A,30,1,6,0,0,0,2,10,18,9,15,1,1,101,Full Court Pressure,0,3,,,,,,,
IDeuce F6,Player,B+,13,0,6,0,0,3,1,6,9,1,3,0,0,101,Full Court Pressure,0,3,,,,,,,
HeEverywhere,Player,C,7,0,2,0,0,4,0,3,7,1,1,0,0,101,Full Court Pressure,0,3,,,,,,,
OUGxGOAT,Player,B-,2,3,1,1,1,1,0,1,4,0,0,0,0,101,Full Court Pressure,0,3,,,,,,,
Conquerrs,Player,B+,14,6,0,0,0,1,0,7,7,0,0,0,0,101,Full Court Pressure,0,3,,,,,,,
TOTAL,Team,B,66,10,15,1,1,9,4,27,45,11,19,1,1,101,Full Court Pressure,0,3,,,,,,,
DirtyJøøøYT,Player,A,37,0,5,1,0,1,1,14,17,5,7,4,5,101,New Vision,1,3,,,,,,,
llUzii,Player,A,33,0,3,0,0,0,1,12,15,6,8,3,3,101,New Vision,1,3,,,,,,,
Brodie1thru5,Player,B-,2,0,3,2,2,3,0,1,3,0,1,0,0,101,New Vision,1,3,,,,,,,
IronH3arTD,Player,B-,3,4,2,0,1,3,0,1,2,1,1,0,0,101,New Vision,1,3,,,,,,,
C ROSEx17,Player,A-,8,13,7,0,0,0,0,4,7,0,0,0,0,101,New Vision,1,3,,,,,,,
TOTAL,Team,B+,83,17,20,3,3,7,2,32,44,12,17,7,8,101,New Vision,1,3,,,,,,,
Trifecta,Player,B+,28,1,5,0,0,0,1,10,19,8,14,0,0,102,Krashout,1,3,,,,,,,
Hate Redas,Player,A,27,0,2,0,0,0,1,10,13,7,10,0,0,102,Krashout,1,3,,,,,,,
RaysBoxn,Player,B-,11,0,2,2,0,4,1,5,7,1,1,0,0,102,Krashout,1,3,,,,,,,
Fr Fella,Player,B+,0,3,4,0,0,1,0,0,0,0,0,0,0,102,Krashout,1,3,,,,,,,
II WHEEL II,Player,A-,6,14,5,0,1,1,1,3,6,0,0,0,0,102,Krashout,1,3,,,,,,,
TOTAL,Team,B+,72,18,18,2,1,5,5,28,45,16,25,0,0,102,Krashout,1,3,,,,,,,
DirtyJøøøYT,Player,A,24,2,7,0,0,0,2,11,17,2,4,0,0,102,New Vision,0,3,,,,,,,
llUzii,Player,B+,9,0,5,0,0,2,0,3,8,3,7,0,0,102,New Vision,0,3,,,,,,,
Brodie1thru5,Player,B,23,1,1,3,1,1,1,9,10,5,6,0,0,102,New Vision,0,3,,,,,,,
IronH3arTD,Player,B,5,6,0,0,0,1,1,2,3,1,2,0,0,102,New Vision,0,3,,,,,,,
C ROSEx17,Player,B-,4,7,4,0,0,0,1,1,6,0,0,2,2,102,New Vision,0,3,,,,,,,
TOTAL,Team,B,65,16,17,3,1,4,5,26,44,11,19,2,2,102,New Vision,0,3,,,,,,,
Trifecta,Player,B+,15,1,7,4,0,1,2,6,13,3,7,0,0,103,Krashout,1,3,,,,,,,
Hate Redas,Player,A-,27,0,4,1,0,1,1,10,14,5,8,2,2,103,Krashout,1,3,,,,,,,
RaysBoxn,Player,B,13,1,1,2,0,3,0,6,7,1,2,0,0,103,Krashout,1,3,,,,,,,
Fr Fella,Player,B,11,1,3,5,0,4,0,5,5,1,1,0,0,103,Krashout,1,3,,,,,,,
II WHEEL II,Player,A-,14,8,6,0,0,2,1,7,8,0,0,0,0,103,Krashout,1,3,,,,,,,
TOTAL,Team,B+,80,11,21,12,0,10,4,34,47,10,18,2,2,103,Krashout,1,3,,,,,,,
DirtyJøøøYT,Player,B+,32,0,7,1,0,0,7,12,16,8,10,0,0,103,New Vision,0,3,,,,,,,
llUzii,Player,B+,14,0,6,0,0,0,3,5,7,4,6,0,0,103,New Vision,0,3,,,,,,,
Brodie1thru5,Player,C+,9,0,3,2,0,3,1,4,5,1,2,0,0,103,New Vision,0,3,,,,,,,
IronH3arTD,Player,C-,0,2,0,0,1,1,1,0,2,0,2,0,0,103,New Vision,0,3,,,,,,,
C ROSEx17,Player,A-,15,8,2,0,0,1,0,7,7,1,1,0,0,103,New Vision,0,3,,,,,,,
TOTAL,Team,B,70,10,18,3,1,5,12,28,37,14,21,0,0,103,New Vision,0,3,,,,,,,
Trifecta,Player,A+,22,0,5,0,0,1,1,8,8,6,6,0,0,104,Krashout,1,3,,,,,,,
Hate Redas,Player,A,24,0,1,0,1,0,0,9,11,6,8,0,0,104,Krashout,1,3,,,,,,,
RaysBoxn,Player,B,10,0,2,2,0,3,0,4,4,2,2,0,0,104,Krashout,1,3,,,,,,,
Fr Fella,Player,B-,3,2,3,0,1,4,0,1,1,1,1,0,0,104,Krashout,1,3,,,,,,,
II WHEEL II,Player,A+,8,13,10,0,1,0,0,4,4,0,0,0,0,104,Krashout,1,3,,,,,,,
TOTAL,Team,A-,67,15,21,2,3,8,1,26,28,15,17,0,0,104,Krashout,1,3,,,,,,,
URGxLeague,Player,B,5,0,3,0,0,0,1,2,4,0,1,1,2,104,URG,0,3,,,,,,,
URGxDerpio,Player,B-,4,0,4,0,0,0,1,1,5,1,3,1,1,104,URG,0,3,,,,,,,
GOAT-By-Nature,Player,D-,5,1,0,0,0,1,0,2,10,1,6,0,0,104,URG,0,3,,,,,,,
I0wnDaPaint99,Player,B-,10,1,0,0,0,0,1,4,8,2,5,0,0,104,URG,0,3,,,,,,,
THE_BIGBRODIE,Player,B,2,4,2,0,0,0,1,1,2,0,0,0,0,104,URG,0,3,,,,,,,
TOTAL,Team,C+,26,6,9,0,0,1,4,10,29,4,15,2,3,104,URG,0,3,,,,,,,
Trifecta,Player,A,37,1,4,2,0,1,1,12,18,8,13,5,5,105,Krashout,1,3,,,,,,,
Hate Redas,Player,A+,44,0,1,2,0,0,0,14,18,12,16,4,4,105,Krashout,1,3,,,,,,,
RaysBoxn,Player,A-,14,0,2,4,0,2,0,6,10,2,5,0,0,105,Krashout,1,3,,,,,,,
Fr Fella,Player,A-,2,2,7,4,0,0,1,1,2,0,1,0,0,105,Krashout,1,3,,,,,,,
II WHEEL II,Player,B+,12,18,8,1,0,1,3,6,6,0,0,0,0,105,Krashout,1,3,,,,,,,
TOTAL,Team,A-,109,21,22,13,0,3,5,39,54,22,35,9,9,105,Krashout,1,3,,,,,,,
URGxLeague,Player,B,5,0,2,2,0,0,6,2,7,1,5,0,0,105,URG,0,3,,,,,,,
URGxDerpio,Player,B+,21,0,8,2,0,4,4,7,10,6,7,1,1,105,URG,0,3,,,,,,,
GOAT-By-Nature,Player,A-,22,1,1,1,0,4,0,7,10,7,10,1,1,105,URG,0,3,,,,,,,
I0wnDaPaint99,Player,B,24,4,5,0,0,2,3,8,13,8,13,0,0,105,URG,0,3,,,,,,,
THE_BIGBRODIE,Player,B,4,4,7,0,0,1,3,2,3,0,1,0,0,105,URG,0,3,,,,,,,
TOTAL,Team,B+,76,9,23,5,0,11,16,26,43,22,36,2,2,105,URG,0,3,,,,,,,
DirtyJøøøYT,Player,A-,17,0,12,2,0,1,4,7,13,3,4,0,0,106,New Vision,1,3,,,,,,,
llUzii,Player,A-,17,0,3,2,0,0,0,7,11,3,6,0,0,106,New Vision,1,3,,,,,,,
Brodie1thru5,Player,B-,5,5,1,0,1,3,1,2,3,1,1,0,0,106,New Vision,1,3,,,,,,,
oJaydvn,Player,B,7,3,1,2,2,0,1,3,4,0,1,1,2,106,New Vision,1,3,,,,,,,
C ROSEx17,Player,B+,11,6,1,1,0,0,0,5,7,1,1,0,0,106,New Vision,1,3,,,,,,,
TOTAL,Team,B+,57,14,18,7,3,4,8,24,38,8,13,1,2,106,New Vision,1,3,,,,,,,
MR-BOXDAT_TTV,Player,B,24,1,2,3,1,1,4,10,17,2,4,2,2,106,W-R-U-C,0,3,,,,,,,
